epoch,train_loss,train_top1,train_top5,train_eval_loss,train_eval_top1,train_eval_top5,val_loss,val_top1,val_top5,time_s
1,3.050028,43.6089,67.9167,2.217743,61.6622,84.9037,2.661489,52.0155,80.5562,1144.204
2,1.118545,71.9153,90.7953,0.522516,85.9162,96.9691,0.762101,78.9825,94.9127,1566.55
3,0.683021,81.595,95.4973,0.358304,90.0224,98.2908,0.640075,82.1944,96.3785,1567.132
4,0.536948,85.3091,96.9198,0.257603,92.8853,98.9875,0.559309,84.7596,96.7665,1562.353
5,0.439526,87.8629,97.6949,0.199543,94.3369,99.3548,0.543504,84.8674,96.9174,1596.442
6,0.371376,89.4668,98.3423,0.160857,95.4435,99.5184,0.534774,85.1261,97.0899,1621.745
7,0.322003,91.026,98.6425,0.122272,96.7764,99.7021,0.515289,86.0961,96.939,1576.609
8,0.27762,92.1281,99.0076,0.095325,97.5112,99.7894,0.522103,85.8159,97.1977,1576.113
9,0.238722,93.2191,99.2204,0.073223,98.1608,99.8611,0.51409,86.7213,97.1114,1571.034
10,0.211032,94.1151,99.3974,0.05926,98.5215,99.9037,0.507886,86.6997,97.0252,1578.979
11,0.189334,94.7379,99.4892,0.050625,98.7814,99.9194,0.504767,86.5273,97.3055,1579.525
12,0.169785,95.2957,99.6281,0.043474,98.9852,99.9507,0.504186,86.5919,97.2623,1576.319
13,0.156727,95.6384,99.6707,0.036629,99.2115,99.9574,0.500262,86.7428,97.5426,1575.66
14,0.14101,96.3015,99.7491,0.031743,99.3414,99.9574,0.508275,86.8937,97.327,1569.319
15,0.133846,96.418,99.7536,0.029851,99.3257,99.9731,0.507195,86.6782,97.3917,1576.07
16,0.129901,96.5569,99.7827,0.029072,99.3683,99.9731,0.511113,86.9584,97.2839,1576.66
17,0.126005,96.6241,99.8051,0.026353,99.4153,99.9709,0.509246,86.8291,97.4132,1579.096
18,0.119924,96.7787,99.8029,0.02539,99.5027,99.9686,0.512072,86.7428,97.3486,1581.788
19,0.116173,97.0296,99.8208,0.027912,99.422,99.9686,0.51083,86.9584,97.2623,1573.083
20,0.115756,96.9713,99.8208,0.027208,99.4467,99.9642,0.514308,86.8506,97.2623,1581.319
