epoch,train_loss,train_top1,train_top5,train_eval_loss,train_eval_top1,train_eval_top5,val_loss,val_top1,val_top5,time_s
1,3.808825,32.2321,57.9205,2.893122,52.1918,80.023,2.939173,50.7373,78.8479,897.483
2,1.503179,63.0127,87.1976,0.721987,80.9159,95.5588,0.853712,76.9816,93.894,1161.356
3,0.917997,75.2218,93.4821,0.496637,86.1722,97.5461,0.693152,80.7604,95.7834,1234.665
4,0.724058,79.9914,95.3888,0.362783,89.8128,98.4044,0.617312,82.2811,96.3364,1232.555
5,0.603553,83.2892,96.61,0.280155,92.3128,98.9257,0.58277,83.5945,96.6129,1212.572
6,0.517345,85.3111,97.3675,0.219753,93.8854,99.3404,0.56379,83.894,96.6129,1229.939
7,0.443778,87.2379,97.9954,0.171294,95.2967,99.5363,0.563993,84.1014,96.7972,1245.883
8,0.3854,88.7817,98.5311,0.131901,96.443,99.712,0.555708,84.3779,96.9585,1226.256
9,0.338679,90.337,98.8681,0.104466,97.3128,99.8387,0.546558,84.6774,96.9816,1228.654
10,0.299084,91.3364,99.1129,0.078139,98.0012,99.8934,0.544199,84.977,97.0046,1211.679
11,0.264031,92.3358,99.2713,0.062985,98.4764,99.9309,0.541639,85.2074,96.9585,1213.57
12,0.236478,93.0616,99.5104,0.051146,98.822,99.9539,0.536315,85.8295,96.9124,1226.462
13,0.214432,93.9372,99.519,0.042631,99.1244,99.9798,0.546822,85.5991,96.9585,1231.755
14,0.190377,94.4787,99.7379,0.035587,99.1129,99.9885,0.55892,85.1613,96.8203,1229.864
15,0.173735,95.1786,99.7379,0.028786,99.4096,99.9914,0.563676,85.2304,97.0276,1225.468
16,0.153456,95.6567,99.7984,0.023194,99.5622,99.9914,0.582272,85.2995,96.7972,1202.774
17,0.130875,96.4113,99.8531,0.017575,99.6601,99.9914,0.562343,85.8986,96.9355,1215.724
