path,food_prob,pred_label,gt_idx
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000041_P8230123.jpg,0.9874576926231384,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000232_non_food_000710.jpg,0.8305128216743469,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000246_non_food_001108.jpg,0.8926576972007751,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000272_non_food_001379.jpg,0.7879801988601685,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000313_IMG_20220603_175735.jpg,1.0,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000650_IMG20230211200421.jpg,0.8307159543037415,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\000791_100_2896.jpg,0.9223067760467529,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\001328_fefea57d65ac52136f2e55a13e1ad17f.jpg,1.0,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\001474_IMG_20220603_175729.jpg,0.9999949932098389,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\001638_035_00ab013df807076845bbec553e9b41d9.jpg.jpg,0.9375878572463989,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\002355_non_food_000378.jpg,0.820458710193634,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\003188_P6170119.jpg,0.7355444431304932,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\003236_dc23e5f78586a6916564c1c54f1d46ad.jpg.jpg,0.9961626529693604,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\003530_514267266_25378001535137666_1063305567482256627_n.jpg,1.0,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\train\003768_non_food_001331.jpg,1.0,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\val\000498_c561c2a77d5b9b03702efc423b18cb9a.jpg,0.7609882354736328,food,1
D:\VSC FILES\testtrain\food_not_food_ds\not_food\test\000017_123_da47b22102623a9f809aa3a98987717c.jpg.jpg,0.9957950115203857,food,1
